,filename,start_time,end_time,edge,meterID,processing_time,average_power_consumption,missing_data,raw_volume,lines_of_code,tool_changes,travels_to_zero_point_in_rapid_traverse,axes_rotation,weighted_rotational_speed,weighted_tool_diameter,weighted_cutting_length,weighted_number_of_cutting_edges,weighted_cutting_speed,weighted_feed_per_tooth,weighted_feed_rate
81,2584165-2SP-SP-Delfine.h,1655282900,1655284200,1237,2,1300,3399.9081790123455,2.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
82,2584165-2SP-SP-Delfine.h,1655284400,1655285700,1237,2,1300,3295.797213622291,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
83,2584165-2SP-SP-Delfine.h,1655285900,1655287250,1237,2,1350,3362.566864784547,2.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
84,2584165-2SP-SP-Delfine.h,1655287350,1655288850,1237,2,1500,3233.3629032258063,6.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
85,2584165-2SP-SP-Delfine.h,1655289450,1655290700,1237,2,1250,3519.348874598071,3.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
86,2584165-2SP-SP-Delfine.h,1655290900,1655292350,1237,2,1450,3261.241666666667,5.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
87,2584165-2SP-SP-Delfine.h,1655292450,1655293800,1237,2,1350,3416.6305637982196,1.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
88,2584165-2SP-SP-Delfine.h,1655294050,1655295300,1237,2,1250,3446.331723027375,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
89,2584165-2SP-SP-Delfine.h,1655295500,1655296900,1237,2,1400,3360.3282828282827,7.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
90,2584165-2SP-SP-Delfine.h,1655353150,1655355000,1237,2,1850,2870.236383442266,7.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
91,2584165-2SP-SP-Delfine.h,1655355300,1655356650,1237,2,1350,3125.215773809524,3.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
92,2584165-2SP-SP-Delfine.h,1655356900,1655358150,1237,2,1250,3307.3016129032258,5.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
93,2584165-2SP-SP-Delfine.h,1655358400,1655359700,1237,2,1300,3259.469814241486,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
94,2584165-2SP-SP-Delfine.h,1655441000,1655442700,1237,2,1700,3190.526595744681,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
95,2584165-2SP-SP-Delfine.h,1655443500,1655444700,1237,2,1200,3225.688442211055,3.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
96,2584165-2SP-SP-Delfine.h,1655445150,1655446450,1237,2,1300,3081.9853620955314,1.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
97,2584165-2SP-SP-Delfine.h,1655447050,1655448300,1237,2,1250,3212.9815705128203,1.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
98,2584165-2SP-SP-Delfine.h,1655448700,1655450000,1237,2,1300,3261.8852080123265,1.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
99,2584165-2SP-SP-Delfine.h,1655450300,1655451550,1237,2,1250,3350.8173076923076,1.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
100,2584165-2SP-SP-Delfine.h,1655452100,1655453400,1237,2,1300,3195.4458204334364,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
101,2584165-2SP-SP-Delfine.h,1655453800,1655455100,1237,2,1300,3481.7383900928794,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
102,2584165-2SP-SP-Delfine.h,1655455900,1655457200,1237,2,1300,3489.9050925925926,2.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
103,2584165-2SP-Delfine.h,1655459280,1655460550,1237,2,1270,3513.8301737756715,2.0,13665960.0,12512,4,81,41,7993.141462537549,15.767211015049632,41.96685878962536,4.066922830611591,395.9855107268652,0.09636825273829976,3108.8905628686707
104,2584165-2SP-Delfine.h,1655460750,1655462000,1237,2,1250,3466.9654340836014,3.0,13665960.0,12512,4,81,41,7993.141462537549,15.767211015049632,41.96685878962536,4.066922830611591,395.9855107268652,0.09636825273829976,3108.8905628686707
105,88237.013.004-2SP-Delfine1.h,1656310320,1656311550,1237,2,1230,2125.4468954248364,3.0,13665960.0,25848,4,19,10,9879.237951469107,8.020886247483352,30.049636053894996,3.9970574570233857,248.49039801765525,0.10000987300603995,3937.335982341106
